City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-23.29,96,99,4.89,RU,1675266070
1,pevek,69.7008,170.3133,-18.28,95,95,0.13,RU,1675266070
2,mezen,65.8522,44.24,-4.59,87,100,5.4,RU,1675266072
3,kavieng,-2.5744,150.7967,26.88,82,91,4.47,PG,1675266074
4,loandjili,-4.7561,11.8578,31.06,66,20,6.17,CG,1675266074
5,qaanaaq,77.484,-69.3632,-23.12,63,89,2.91,GL,1675266075
6,hithadhoo,-0.6,73.0833,27.63,71,70,5.71,MV,1675266075
7,kirakira,-10.4544,161.9205,26.87,85,46,3.55,SB,1675266076
8,cairns,-16.9167,145.7667,27.81,93,75,1.54,AU,1675266076
9,liwale,-9.7667,37.9333,23.5,89,100,1.4,TZ,1675266080
10,butaritari,3.0707,172.7902,26.74,79,91,6.72,KI,1675266080
11,east london,-33.0153,27.9116,20.52,88,20,7.72,ZA,1675266081
12,luau,-10.7073,22.2247,22.99,77,73,1.0,AO,1675266081
13,gizo,-8.103,156.8419,27.33,80,97,3.85,SB,1675266082
14,maragogi,-9.0122,-35.2225,28.9,65,93,4.63,BR,1675266083
15,baykit,61.67,96.37,-21.87,100,100,0.8,RU,1675266083
16,rikitea,-23.1203,-134.9692,25.84,77,4,7.49,PF,1675266084
17,santa cruz,-17.8,-63.1667,31.03,62,40,4.12,BO,1675265785
18,gorey,52.6747,-6.2925,9.76,78,100,7.28,IE,1675266085
19,ushuaia,-54.8,-68.3,11.81,76,75,3.6,AR,1675266085
20,yellowknife,62.456,-114.3525,-35.25,68,20,4.12,CA,1675266084
21,albany,42.6001,-73.9662,-4.07,51,33,0.45,US,1675265993
22,puerto ayora,-0.7393,-90.3518,28.98,89,79,2.68,EC,1675266087
23,olinda,-8.0089,-34.8553,29.85,62,20,4.12,BR,1675265919
24,bredasdorp,-34.5322,20.0403,23.55,57,65,5.75,ZA,1675266088
25,mataura,-46.1927,168.8643,16.63,100,100,1.3,NZ,1675266089
26,atuona,-9.8,-139.0333,25.64,75,14,8.14,PF,1675266089
27,vaini,-21.2,-175.2,27.09,83,20,6.17,TO,1675266090
28,port alfred,-33.5906,26.891,22.88,81,66,4.47,ZA,1675266090
29,huarmey,-10.0681,-78.1522,24.13,72,91,3.23,PE,1675266091
30,wasilla,61.5814,-149.4394,-2.61,94,75,1.54,US,1675266091
31,port elizabeth,-33.918,25.5701,27.83,77,20,11.32,ZA,1675266092
32,pemangkat,1.1667,108.9667,25.54,86,91,1.66,ID,1675266092
33,basavana bagevadi,16.5833,75.9667,25.31,35,100,3.04,IN,1675266093
